x,y,r
1.0,0.5,0
1.0,1.5,0
2.0,2.0,0
2.0,1.5,0
0.0,1.0,0
-0.5,2.0,0
1.0,2.0,0
-1.5,1.5,0
0.5,1.5,0
0.0,1.5,0
1.0,2.0,0
1.0,1.0,0
-1.5,1.5,0
3.5,1.5,0
5.5,1.5,0
4.0,1.5,0
-1.0,1.5,0
1.0,1.5,0
0.0,1.0,0
1.5,1.5,0
0.5,1.5,0
0.0,1.5,0
0.0,2.0,0
1.0,1.0,0
-0.5,2.0,0
1.5,2.0,0
0.0,1.5,0
1.0,1.5,0
0.0,1.0,0
2.0,2.0,0
4.5,1.5,0
4.5,1.0,0
5.0,2.5,0
3.5,1.0,0
5.5,1.5,0
3.5,1.0,0
4.0,2.5,0
6.0,2.0,0
7.0,1.5,0
5.0,2.0,0
4.5,2.0,0
-0.5,1.0,0
-1.0,2.0,0
0.5,1.0,0
0.0,1.0,0
-3.5,1.0,0
-5.0,1.0,0
-5.0,1.5,0
-4.5,0.5,0
-4.0,0.5,0
0.5,1.5,0
-0.5,1.5,0
-8.0,0.5,0
-6.0,1.5,0
-7.0,1.5,0
-7.5,1.0,0
-3.5,2.0,0
0.0,2.0,0
1.0,2.5,0
0.5,2.0,0
2.0,1.0,0
2.5,2.0,0
0.0,2.0,0
1.5,1.0,0
0.0,1.5,0
-4.5,1.5,0
-3.5,1.0,0
-4.0,2.0,0
-3.5,0.5,0
19.0,2.5,0
-0.5,2.0,0
-5.0,2.5,0
-4.5,2.5,0
-5.0,1.5,0
-4.5,2.0,0
-6.0,1.5,0
-5.5,2.5,0
-4.5,2.0,0
-6.5,2.5,0
-7.0,2.5,0
-6.0,2.5,0
-6.5,1.0,0
1.5,2.5,0
1.0,2.0,0
2.0,2.0,0
0.0,1.5,0
2.0,2.0,0
3.0,2.0,0
0.5,2.0,0
0.0,2.0,0
0.5,1.5,0
0.0,1.5,0
3.0,1.5,0
1.0,2.0,0
2.5,2.0,0
5.5,2.5,0
6.5,2.0,0
6.0,2.5,0
6.0,3.5,0
5.5,2.5,0
6.0,2.5,0
4.0,3.0,0
5.0,2.5,0
5.5,2.5,0
7.0,2.5,0
7.0,3.0,0
6.5,3.0,0
7.0,3.0,0
5.5,2.0,0
6.5,2.5,0
7.0,2.0,0
6.0,2.5,0
5.5,2.0,0
4.5,2.0,0
5.5,1.5,0
5.0,1.5,0
4.5,1.5,0
4.5,2.0,0
5.5,1.5,0
4.5,2.0,0
6.0,2.0,0
6.0,1.0,0
5.5,2.0,0
5.0,1.5,0
5.0,1.5,0
7.5,2.0,0
7.0,2.5,0
8.5,2.5,0
7.0,2.0,0
3.5,1.0,0
5.0,1.5,0
4.5,2.0,0
4.0,3.0,0
5.0,2.5,0
4.0,2.0,0
5.0,1.0,0
5.0,2.0,0
3.5,1.0,0
5.0,1.5,0
4.0,2.0,0
3.5,3.0,0
5.0,2.0,0
4.0,1.5,0
2.5,1.0,0
2.5,1.5,0
3.0,2.0,0
3.5,1.5,0
2.0,2.5,0
3.5,2.5,0
3.5,3.5,0
2.0,3.0,0
2.5,3.0,0
2.5,2.5,0
1.5,2.0,0
2.0,2.0,0
2.0,1.0,0
0.5,1.0,0
2.0,1.5,0
-2.5,1.0,0
-1.0,1.0,0
1.0,2.5,0
1.5,2.5,0
1.0,1.5,0
-4.0,1.0,0
-4.0,1.5,0
-2.5,0.5,0
-1.0,1.5,0
-1.0,1.5,0
-5.0,1.0,0
-5.0,1.5,0
-3.0,1.5,0
-3.5,2.0,0
-1.0,2.0,0
-2.5,1.5,0
-2.5,1.0,0
-3.0,1.0,0
-4.0,1.0,0
-6.5,2.5,0
-7.5,2.0,0
-6.0,1.5,0
-6.0,1.5,0
-5.5,1.5,0
-5.0,1.5,0
-4.5,1.0,0
-2.0,1.0,0
-4.0,0.5,0
-1.5,1.0,0
-5.0,2.0,0
22.5,3.0,0
1.5,2.5,0
-0.5,3.0,0
1.0,2.5,0
1.0,2.0,0
3.0,1.5,0
1.0,2.5,0
1.0,2.5,0
-2.5,2.0,0
-4.0,1.0,0
-3.5,1.5,0
-3.0,2.0,0
-3.0,1.5,0
-1.5,1.5,0
1.0,1.5,0
1.0,1.0,0
-1.0,2.0,0
-5.0,1.5,0
6.5,1.5,0
-16.0,1.5,0
-6.0,2.5,0
-4.5,2.5,0
0.5,2.0,0
1.0,2.5,0
1.5,2.0,0
1.0,2.0,0
2.0,1.0,0
2.5,2.5,0
-0.5,2.5,0
-2.5,2.0,0
-4.0,2.0,0
-2.5,2.0,0
-6.5,2.0,0
-6.5,1.5,0
-5.5,1.5,0
-6.0,1.5,0
-7.0,1.5,0
-5.0,1.0,0
-6.0,1.0,0
-6.5,0.5,0
-5.0,1.0,0
-6.0,0.5,0
-6.0,1.5,0
-3.5,0.5,0
-4.5,0.5,0
-5.0,1.5,0
-4.0,1.0,0
-1.0,1.0,0
1.0,1.0,0
0.0,1.5,0
-0.5,1.0,0
-4.0,1.0,0
-4.0,1.5,0
-4.5,1.5,0
-3.5,1.5,0
-4.0,1.0,0
-5.0,1.5,0
-5.5,1.0,0
-3.5,1.0,0
-1.5,1.0,0
-1.0,1.5,0
0.5,2.5,0
0.0,2.0,0
1.0,2.0,0
1.5,2.0,0
2.0,2.0,0
1.5,1.5,0
2.0,2.0,0
3.0,1.5,0
2.0,2.0,0
1.5,1.0,0
2.0,2.0,0
0.5,1.5,0
-0.5,2.0,0
0.5,2.0,0
0.5,1.5,0
0.5,2.0,0
1.5,2.5,0
1.0,2.0,0
0.5,2.5,0
1.5,2.0,0
2.0,1.5,0
1.5,1.0,0
1.5,2.5,0
1.5,1.5,0
2.0,1.5,0
1.5,1.5,0
0.0,2.0,0
1.5,1.5,0
1.5,1.5,0
0.5,2.0,0
1.5,1.5,0
1.0,1.5,0
0.5,1.0,0
1.0,2.0,0
-3.0,1.0,0
-4.0,1.5,0
-4.5,1.5,0
-3.5,1.0,0
-4.0,1.0,0
-3.5,0.5,0
2.0,1.0,1
3.5,2.5,1
3.5,3.0,1
2.5,4.0,1
2.5,4.0,1
2.0,4.5,1
3.5,4.5,1
3.5,5.5,1
-4.5,5.0,1
-9.0,2.0,1
-10.0,2.5,1
-10.0,2.0,1
-10.5,2.5,1
-11.5,2.0,1
-10.5,1.5,1
-10.0,1.0,1
-8.0,4.0,1
-7.5,3.5,1
-8.5,4.0,1
-4.5,4.0,1
6.5,3.5,1
7.5,2.5,1
6.0,3.5,1
7.5,3.0,1
9.0,3.0,1
-4.5,5.0,1
-9.0,4.0,1
-8.5,3.0,1
-9.5,4.0,1
-9.5,4.0,1
-9.5,4.0,1
-9.5,3.5,1
-5.5,5.5,1
13.0,3.5,1
15.0,3.5,1
13.0,2.5,1
12.0,3.5,1
-9.0,4.5,1
-10.0,3.5,1
-8.5,3.5,1
-9.0,4.5,1
-8.5,4.0,1
-9.5,4.0,1
-8.5,5.0,1
